old,new,ps,pr
Бытие 1:1-2:25,Матфея 1:1-2:12,Пс. 1:1-6,Прит. 1:1-6
Бытие 3:1-4:26,Матфея 2:13-3:6,Пс. 2:1-12,Прит. 1:7-9
Бытие 5:1-7:24,Матфея 3:7-4:11,Пс. 3:1-9,Прит. 1:10-19
Бытие 8:1-10:32,Матфея 4:12-25,Пс. 4:1-9,Прит. 1:20-23
Бытие 11:1-13:4,Матфея 5:1-26,Пс. 5:1-13,Прит. 1:24-28
Бытие 13:5-15:21,Матфея 5:27-48,Пс. 6:1-11,Прит. 1:29-33
Бытие 16:1-18:15,Матфея 6:1-24,Пс. 7:1-18,Прит. 2:1-5
Бытие 18:16-19:38,Матфея 6:25-7:14,Пс. 8:1-10,Прит. 2:6-15
Бытие 20:1-22:24,Матфея 7:15-29,Пс. 9:1-12,Прит. 2:16-22
Бытие 23:1-24:51,Матфея 8:1-17,Пс. 9:13-20,Прит. 3:1-6
Бытие 24:52-26:16,Матфея 8:18-34,Пс. 9:21-36,Прит. 3:7-8
Бытие 26:17-27:46,Матфея 9:1-17,Пс. 9:37-39,Прит. 3:9-10
Бытие 28:1-29:35,Матфея 9:18-38,Пс. 10:1-7,Прит. 3:11-12
Бытие 30:1-31:16,Матфея 10:1-23,Пс. 11:1-9,Прит. 3:13-15
Бытие 31:17-32:12,Матфея 10:24-11:6,Пс. 12:1-6,Прит. 3:16-18
Бытие 32:13-34:31,Матфея 11:7-30,Пс. 13:1-7,Прит. 3:19-20
Бытие 35:1-36:43,Матфея 12:1-21,Пс. 14:1-5,Прит. 3:21-26
Бытие 37:1-38:30,Матфея 12:22-45,Пс. 15:1-11,Прит. 3:27-32
Бытие 39:1-41:16,Матфея 12:46-13:23,Пс. 16:1-15,Прит. 3:33-35
Бытие 41:17-42:17,Матфея 13:24-46,Пс. 17:1-15,Прит. 4:1-6
Бытие 42:18-43:34,Матфея 13:47-14:12,Пс. 17:16-36,Прит. 4:7-10
Бытие 44:1-45:28,Матфея 14:13-36,Пс. 17:37-50,Прит. 4:11-13
Бытие 46:1-47:31,Матфея 15:1-28,Пс. 18:1-14,Прит. 4:14-19
Бытие 48:1-49:33,Матфея 15:29-16:12,Пс. 19:1-9,Прит. 4:20-27
Бытие 50:1-Исход 2:10,Матфея 16:13-17:9,Пс. 20:1-14,Прит. 5:1-6
Исход 2:11-3:22,Матфея 17:10-27,Пс. 21:1-18,Прит. 5:7-14
Исход 4:1-5:21,Матфея 18:1-20,Пс. 21:19-32,Прит. 5:15-21
Исход 5:22-7:25,Матфея 18:21-19:12,Пс. 22:1-6,Прит. 5:22-23
Исход 8:1-9:35,Матфея 19:13-30,Пс. 23:1-10,Прит. 6:1-5
Исход 10:1-12:13,Матфея 20:1-28,Пс. 24:1-15,Прит. 6:6-11
Исход 12:14-13:16,Матфея 20:29-21:22,Пс. 24:16-22,Прит. 6:12-15
Исход 13:17-15:18,Матфея 21:23-46,Пс. 25:1-12,Прит. 6:16-19
Исход 15:19-17:7,Матфея 22:1-33,Пс. 26:1-6,Прит. 6:20-26
Исход 17:8-19:15,Матфея 22:34-23:12,Пс. 26:7-14,Прит. 6:27-35
Исход 19:16-21:21,Матфея 23:13-39,Пс. 27:1-9,Прит. 7:1-5
Исход 21:22-23:13,Матфея 24:1-28,Пс. 28:1-11,Прит. 7:6-23
Исход 23:14-25:40,Матфея 24:29-51,Пс. 29:1-13,Прит. 7:24-27
Исход 26:1-27:21,Матфея 25:1-30,Пс. 30:1-8,Прит. 8:1-11
Исход 28:1-43,Матфея 25:31-26:13,Пс. 30:9-18,Прит. 8:12-13
Исход 29:1-30:10,Матфея 26:14-46,Пс. 30:19-25,Прит. 8:14-26
Исход 30:11-31:18,Матфея 26:47-68,Пс. 31:1-11,Прит. 8:27-32
Исход 32:1-33:23,Матфея 26:69-27:14,Пс. 32:1-11,Прит. 8:33-36
Исход 34:1-35:9,Матфея 27:15-31,Пс. 32:12-22,Прит. 9:1-6
Исход 35:10-36:38,Матфея 27:32-66,Пс. 33:1-10,Прит. 9:7-8
Исход 37:1-38:31,Матфея 28:1-20,Пс. 33:11-22,Прит. 9:9-10
Исход 39:1-40:38,Марка 1:1-28,Пс. 34:1-16,Прит. 9:11-12
Левит 1:1-3:17,Марка 1:29-2:12,Пс. 34:17-28,Прит. 9:13-18
Левит 4:1-5:19,Марка 2:13-3:6,Пс. 35:1-13,Прит. 10:1-2
Левит 6:1-7:27,Марка 3:7-30,Пс. 36:1-11,Прит. 10:3-4
Левит 7:28-9:6,Марка 3:31-4:25,Пс. 36:12-29,Прит. 10:5
Левит 9:7-10:20,Марка 4:26-5:20,Пс. 36:30-40,Прит. 10:6-7
Левит 11:1-12:8,Марка 5:21-43,Пс. 37:1-22,Прит. 10:8-9
Левит 13:1-59,Марка 6:1-29,Пс. 38:1-14,Прит. 10:10
Левит 14:1-56,Марка 6:30-56,Пс. 39:1-11,Прит. 10:11-12
Левит 15:1-16:28,Марка 7:1-23,Пс. 39:12-17,Прит. 10:13-14
Левит 16:29-18:30,Марка 7:24-8:10,Пс. 40:1-14,Прит. 10:15-16
Левит 19:1-20:21,Марка 8:11-38,Пс. 41:1-11,Прит. 10:17
Левит 20:22-22:16,Марка 9:1-29,Пс. 42:1-5,Прит. 10:18
Левит 22:17-23:44,Марка 9:30-10:12,Пс. 43:1-9,Прит. 10:19
